group,contrast,observed,ci_low,ci_high,ci_excludes_zero
delta_vs_fp16,K16/V4 - FP16,-0.021485506964552314,-0.15835782793167966,0.11065554715592357,False
delta_vs_fp16,K16/V2 - FP16,-0.24985412669350637,-0.5202589115958667,0.0230267910660206,False
delta_vs_fp16,K4/V16 - FP16,0.185520891170313,-0.018546897497546053,0.40151709226330307,False
delta_vs_fp16,K4/V4 - FP16,0.13679904705217893,-0.11627107273166555,0.39120548326021565,False
delta_vs_fp16,K4/V2 - FP16,-0.314773916091454,-0.6054791507533664,-0.019770188838212053,True
delta_vs_fp16,K2/V16 - FP16,0.0841885583374875,-0.4169390647999981,0.6046172335254825,False
delta_vs_fp16,K2/V4 - FP16,-0.008359317699948576,-0.49928143077594667,0.5074701724632353,False
delta_vs_fp16,K2/V2 - FP16,-0.4832777572767668,-0.9531727593951475,0.001042027671739666,False
key_trajectory,K16->K4 @ V16,0.185520891170313,-0.018546897497546053,0.40151709226330307,False
key_trajectory,K4->K2 @ V16,-0.1013323328328255,-0.6067349128139792,0.4047989077117482,False
key_trajectory,K16->K2 @ V16,0.0841885583374875,-0.4169390647999981,0.6046172335254825,False
key_trajectory,K16->K4 @ V4,0.15828455401673125,-0.073726008536301,0.3987371844418806,False
key_trajectory,K4->K2 @ V4,-0.1451583647521275,-0.6266590229736263,0.33665114681389535,False
key_trajectory,K16->K2 @ V4,0.013126189264603738,-0.477311297172805,0.5221613060305084,False
key_trajectory,K16->K4 @ V2,-0.06491978939794762,-0.2653844129689963,0.13574232354521235,False
key_trajectory,K4->K2 @ V2,-0.1685038411853128,-0.6499117204977332,0.3098960043942049,False
key_trajectory,K16->K2 @ V2,-0.23342363058326043,-0.7217536110116833,0.2569991928726342,False
value_trajectory,V16->V4 @ K16,-0.021485506964552314,-0.15835782793167966,0.11065554715592357,False
value_trajectory,V4->V2 @ K16,-0.22836861972895406,-0.5096485812361509,0.058747505390682256,False
value_trajectory,V16->V2 @ K16,-0.24985412669350637,-0.5202589115958667,0.0230267910660206,False
value_trajectory,V16->V4 @ K4,-0.04872184411813407,-0.207712840807544,0.10698981150796437,False
value_trajectory,V4->V2 @ K4,-0.45157296314363293,-0.7404976448255836,-0.16893522246011197,True
value_trajectory,V16->V2 @ K4,-0.500294807261767,-0.8002185625696774,-0.20112028872779686,True
value_trajectory,V16->V4 @ K2,-0.09254787603743608,-0.21417534069727784,0.01927109598428604,False
value_trajectory,V4->V2 @ K2,-0.47491843957681823,-0.7999899289829754,-0.16626234719017255,True
value_trajectory,V16->V2 @ K2,-0.5674663156142543,-0.898014726664744,-0.25426242217905876,True
