contrast,full_15_task_mean,min,min_task,max,max_task,sign_changed
K16/V4 - FP16,-0.02148550696454888,-0.05594951569593411,multifieldqa_en,0.029252308756975025,qasper,True
K16/V2 - FP16,-0.24985412669350981,-0.33912942145733194,passage_retrieval_en,0.09544200711409687,lcc,True
K4/V16 - FP16,0.18552089117030685,0.05591524053961448,passage_retrieval_en,0.23713103433080004,qasper,False
K4/V4 - FP16,0.1367990470521748,0.0037132646987587037,passage_retrieval_en,0.18371326469875893,lcc,False
K4/V2 - FP16,-0.31477391609146027,-0.4086863386694217,passage_retrieval_en,0.10659937561629247,lcc,True
K2/V16 - FP16,0.08418855833748147,-0.33836940178126984,passage_retrieval_en,0.21905005825763052,2wikimqa,True
K2/V4 - FP16,-0.008359317699950115,-0.401813554678518,passage_retrieval_en,0.11887264737572208,multifieldqa_en,True
K2/V2 - FP16,-0.4832777572767681,-0.6427975970822516,passage_retrieval_en,-0.38678496658829314,multifieldqa_en,False
K16->4 x V16->4,-0.02723633715358318,-0.09573746933229543,qasper,0.03996106733544685,lcc,True
K16->4 x V4->2,-0.22320434341467413,-0.2632330282081336,samsum,-0.060576082230008,passage_retrieval_en,False
K4->2 x V16->4,-0.04382603191929953,-0.09967074848496425,lcc,-0.0024128029592341044,qasper,False
K4->2 x V4->2,-0.023345476433182927,-0.2815844390355525,lcc,0.17141556096444685,passage_retrieval_en,True
K16->2 x V16->2 (broad),-0.3176121889207398,-0.5597273452722213,lcc,0.03470122615635025,passage_retrieval_en,True
