task,n_samples,fp16_score,K16/V16_score,K16/V4_score,K16/V2_score,K4/V16_score,K4/V4_score,K4/V2_score,K2/V16_score,K2/V4_score,K2/V2_score,K16/V4_delta_vs_fp16,K16/V2_delta_vs_fp16,K4/V16_delta_vs_fp16,K4/V4_delta_vs_fp16,K4/V2_delta_vs_fp16,K2/V16_delta_vs_fp16,K2/V4_delta_vs_fp16,K2/V2_delta_vs_fp16,largest_abs_degradation,largest_abs_degradation_config,k_sensitivity,v_sensitivity,tolerance_4bit,sensitivity_2bit,joint_mixed_sensitivity
narrativeqa,200,20.81444571457949,20.81444571457949,20.93442265787839,21.404266762466122,21.033685442944453,20.95143226674517,21.101796515718405,20.12428357180564,20.25886833607571,21.04275151893735,0.11997694329889796,0.5898210478866304,0.2192397283649612,0.136986552165677,0.2873508011389134,-0.6901621427738505,-0.5555773785037807,0.2283058043578592,-0.6901621427738505,K2/V16,0.5757439027017668,0.5254666892640975,0.16960833583192958,-0.05017054744361005,0.02426644478966722
qasper,200,29.36895349023296,29.36895349023296,28.637138563167078,28.45563492660856,28.831932377156363,29.031896963438868,28.851845445479693,29.66532012536252,29.24167347428481,28.349542281775893,-0.7318149270658836,-0.9133185636244008,-0.5370211130765981,-0.33705652679409326,-0.5171080447532681,0.29636663512955863,-0.12728001594815197,-1.0194112084570683,-1.0194112084570683,K2/V2,0.33566473035998595,0.7496698251781192,-0.6344180200712408,-0.3084759642474211,-0.5002139489881454
multifieldqa_en,150,43.419126584482434,43.419126584482434,43.88013719975728,43.948426726565664,43.72108851245366,43.66797738092111,43.70238155333423,41.861024585489695,41.629519755723074,41.58494975756702,0.4610106152748443,0.5293001420832297,0.30196192797122734,0.24885079643867414,0.2832549688517929,-1.5581019989927398,-1.7896068287593607,-1.8341768269154173,-1.8341768269154173,K2/V2,2.0573988040085305,0.2746939763751139,0.38148627162303583,-0.514400928454755,-0.7729194725960777
hotpotqa,200,33.05295863358398,33.05295863358398,33.00295863358397,33.44816849618514,33.007161829320346,33.01008580592854,33.219080917097564,32.73595911474435,32.73595911474435,32.98368804411894,-0.05000000000000426,0.3952098626011633,-0.045796804263630975,-0.04287282765543665,0.16612228351358738,-0.31699951883962996,-0.31699951883962996,-0.0692705894650345,-0.31699951883962996,K2/V16,0.3494931632484845,0.2849526265843257,-0.04789840213181762,0.039105171880766676,-0.06575516311162843
musique,200,14.710167847742111,14.710167847742111,14.664713302287566,14.53569320700774,14.61219498726925,14.71796338553765,14.598761725260474,13.869080285264161,13.978399317708131,13.692515900934957,-0.04545454545454497,-0.17447464073437224,-0.09797286047286136,0.007795537795539431,-0.11140612248163784,-0.8410875624779504,-0.73176853003398,-1.0176519468071543,-1.0176519468071543,K2/V2,0.7901929510433892,0.12149076235745089,-0.07171370296370316,-0.5077811016061613,-0.4632577653818082
2wikimqa,200,24.45184342661123,24.45184342661123,24.62267675994456,24.433433856305374,24.654038964990978,24.602568376755684,24.480763487458535,22.647970986066625,22.787311166583276,22.93390822856767,0.17083333333333073,-0.018409570305855993,0.20219553837974757,0.15072495014445408,0.02892006084730525,-1.8038724405446054,-1.6645322600279542,-1.5179351980435598,-1.8038724405446054,K2/V16,1.7129212205478648,0.15920743011311464,0.18651443585653915,-0.9111410054252307,-0.7507056117699387
gov_report,200,30.814701382174654,30.814701382174654,31.103264318389957,31.40356196382899,31.10918829815499,31.378898261086306,31.55301307316482,31.441395266352927,31.25515253444148,30.478188810919633,0.28856293621530327,0.5888605816543375,0.29448691598033605,0.5641968789116518,0.7383116909901659,0.6266938841782732,0.4404511522668244,-0.336512571255021,-0.336512571255021,K2/V2,0.5679850843797176,0.6652972706991539,0.29152492609781966,0.6077772329163054,0.3516117877284053
qmsum,200,22.72831723794793,22.72831723794793,22.773087177581168,22.545089354574767,22.953426869791528,22.9114628770335,22.776103246986953,22.52697820119779,22.269787006471738,22.48480727531195,0.0447699396332375,-0.18322788337316354,0.22510963184359767,0.1831456390855699,0.047786009039022304,-0.20133903675014153,-0.45853023147619254,-0.24350996263597935,-0.45853023147619254,K2/V4,0.2549737623741291,0.1342408106878589,0.13493978573841758,-0.19228346006165253,-0.11777713649689492
multi_news,200,26.619312522858568,26.619312522858568,26.427375641900408,26.29778322808302,26.735462863800986,26.624734786655154,26.272296011822423,26.7470360454638,26.80075718107198,26.597376815243916,-0.19193688095815986,-0.3215292947755479,0.1161503409424185,0.0054222637965857245,-0.34701651103614495,0.12772352260523334,0.1814446582134117,-0.021935707614652245,-0.34701651103614495,K4/V2,0.2668995496459002,0.31145179232466563,-0.03789327000787068,-0.09690288608515729,-0.04552132416019994
lcc,500,52.99,52.99,53.31,47.906,53.118,52.47,46.776,54.296,54.386,52.284,0.3200000000000003,-5.084000000000003,0.1280000000000001,-0.5200000000000031,-6.213999999999999,1.3059999999999974,1.3960000000000008,-0.7060000000000031,-6.213999999999999,K4/V2,2.2533333333333325,4.479333333333334,0.2240000000000002,-1.889000000000003,-1.511000000000001
