task,n_samples,key_only_effect,key_only_ci_low,key_only_ci_high,key_only_win_rate,key_only_tie_rate,key_only_loss_rate,value_only_effect,value_only_ci_low,value_only_ci_high,value_only_win_rate,value_only_tie_rate,value_only_loss_rate,joint_effect,joint_ci_low,joint_ci_high,joint_win_rate,joint_tie_rate,joint_loss_rate,kivi4_effect,kivi4_ci_low,kivi4_ci_high,kivi4_win_rate,kivi4_tie_rate,kivi4_loss_rate,key_minus_value_effect,key_minus_value_ci_low,key_minus_value_ci_high,interaction_effect,interaction_ci_low,interaction_ci_high
2wikimqa,200,-1.8038724405446036,-3.630542010878699,-0.1590104409115216,0.05,0.835,0.115,-0.018409570305855116,-0.9020606699157399,0.890302258048968,0.035,0.93,0.035,-1.517935198043557,-3.2306038963401584,0.006406144988768763,0.06,0.825,0.115,0.1507249501444548,-0.520451818885449,1.0464476721249165,0.02,0.95,0.03,-1.785462870238748,-3.5974503500306096,-0.12463814027315177,0.3043468128069014,-1.277958133025311,1.9527892467869246
gov_report,200,0.6266938841782782,-0.09975928954953646,1.3627369389054758,0.525,0.0,0.475,0.5888605816543421,-0.1637654155018036,1.35091763404941,0.51,0.01,0.48,-0.3365125712550165,-1.129075478581108,0.48170401722247463,0.45,0.0,0.55,0.5641968789116548,-0.130189197774786,1.262590777042243,0.535,0.015,0.45,0.03783330252393601,-0.697957820189205,0.7934399037064234,-1.5520670370876366,-2.5480035910307044,-0.5655805159699714
hotpotqa,200,-0.3169995188396284,-2.299215542667237,1.646100352584549,0.055,0.855,0.09,0.3952098626011669,-0.10861788859500528,1.0939233706796636,0.02,0.965,0.015,-0.06927058946502804,-2.071985536064494,1.8707262018216855,0.075,0.84,0.085,-0.04287282765543631,-0.18729778992936882,0.052956171720473864,0.015,0.97,0.015,-0.7122093814407954,-2.6922015767820393,1.2391489051896991,-0.14748093322656658,-1.507893222692518,1.3440264348834126
lcc,500,1.306,-0.68,3.298,0.248,0.508,0.244,-5.084,-6.88205,-3.2959000000000014,0.072,0.762,0.166,-0.706,-2.704,1.2380499999999992,0.226,0.516,0.258,-0.52,-1.54005,0.438,0.064,0.87,0.066,6.39,4.10595,8.704,3.072,0.94795,5.242049999999999
multi_news,200,0.12772352260523653,-0.4839254780565476,0.7485754963385337,0.48,0.0,0.52,-0.3215292947755465,-0.8838955327642134,0.21555315773235484,0.5,0.005,0.495,-0.02193570761464983,-0.568856876816376,0.548136092818171,0.525,0.0,0.475,0.005422263796588176,-0.48854396633998876,0.47880620985013117,0.49,0.065,0.445,0.44925281738078304,-0.1444086153441223,1.052923244309344,0.17187006455566015,-0.5924767334249695,0.9383905969015455
multifieldqa_en,150,-1.5581019989927378,-3.823058516266579,0.49069807311633085,0.20666666666666667,0.5666666666666667,0.22666666666666666,0.5293001420832231,-0.3190937748560504,1.481426823576321,0.13333333333333333,0.7266666666666667,0.14,-1.8341768269154173,-4.329119665762635,0.39893359004023976,0.23333333333333334,0.5533333333333333,0.21333333333333335,0.24885079643867386,-0.37225370118151063,1.0529916132898847,0.07333333333333333,0.8266666666666667,0.1,-2.0874021410759607,-4.364687120633999,-0.032109608723703734,-0.8053749700059026,-2.412657687751027,0.6561357489476942
musique,200,-0.8410875624779517,-2.167678006360779,0.2591186171166893,0.065,0.845,0.09,-0.17447464073437374,-0.6852596246563215,0.24250568558672064,0.025,0.94,0.035,-1.017651946807155,-2.298876584522113,0.06342841655117439,0.05,0.86,0.09,0.007795537795537779,-0.2838485958485959,0.30715800865800846,0.02,0.96,0.02,-0.6666129217435781,-2.0092540874846554,0.4999903871226578,-0.002089743594829283,-0.5605095088477599,0.5846831499276264
narrativeqa,200,-0.6901621427738488,-1.7196660994722555,0.20471028576218064,0.16,0.635,0.205,0.5898210478866321,-0.08458169431702756,1.2866710743184442,0.165,0.74,0.095,0.22830580435786338,-0.8510063481214729,1.2569895609273343,0.25,0.565,0.185,0.13698655216568004,-0.32178895132844515,0.5949350659271554,0.09,0.815,0.095,-1.2799831906604808,-2.2826183712475117,-0.3442484339611196,0.32864689924507995,-0.4303134222744033,1.1085932509714687
passage_retrieval_en,200,6.0,0.5,11.5,0.115,0.83,0.055,1.0,-1.5,3.5,0.02,0.97,0.01,1.75,-3.0,6.75,0.075,0.87,0.055,2.0,-1.0,5.0,0.035,0.95,0.015,5.0,-0.5,10.5,-5.25,-9.25,-1.5
qasper,200,0.29636663512955796,-1.2736536056779648,1.8461391634386515,0.335,0.335,0.33,-0.9133185636244057,-2.0374456897005286,0.1677583093331948,0.2,0.535,0.265,-1.0194112084570681,-2.6407931718878253,0.5402221387995053,0.3,0.34,0.36,-0.33705652679409814,-0.9397493318207653,0.21870377488286408,0.155,0.64,0.205,1.2096851987539636,-0.41467855460555686,2.8356833456439574,-0.40245927996222064,-2.287437190197501,1.418187308013169
qmsum,200,-0.20133903675014328,-0.9919468002425328,0.5885291962981606,0.475,0.015,0.51,-0.18322788337316748,-0.7610474235049509,0.39250107143972585,0.46,0.115,0.425,-0.24350996263598532,-1.019927572177773,0.5115073862224618,0.535,0.0,0.465,0.18314563908556544,-0.28590136110429165,0.6579849250797419,0.39,0.24,0.37,-0.018111153376975723,-0.8278929280817474,0.7618685138268294,0.14105695748732544,-0.6451890384958772,0.926987905908022
repobench-p,500,-1.314,-3.034,0.4079999999999999,0.218,0.518,0.264,-0.796,-2.03,0.3820499999999993,0.086,0.808,0.106,-1.624,-3.40605,0.138,0.218,0.498,0.284,-0.274,-0.99805,0.456,0.056,0.86,0.084,-0.518,-2.2560499999999997,1.22,0.486,-1.0341,2.0320499999999995
