task,layer_idx,tensor_axis,mean_distortion,median_distortion_secondary,n
2wikimqa,0,key,0.06942016905688396,0.06875825203129252,4
2wikimqa,0,value,0.2608722451875115,0.26082291108433825,4
2wikimqa,4,key,0.03391816943920251,0.03387829141457552,4
2wikimqa,4,value,0.19921310637686573,0.1989070460771772,4
2wikimqa,9,key,0.04843712687371036,0.048183961602297785,4
2wikimqa,9,value,0.1053771418345698,0.10174525660389538,4
2wikimqa,13,key,0.05142266525555942,0.05114516112293628,4
2wikimqa,13,value,0.15502243405244365,0.15631404721670256,4
2wikimqa,18,key,0.045587784040157356,0.04495589112599929,4
2wikimqa,18,value,0.13245266220176954,0.13240375086334416,4
2wikimqa,22,key,0.0502906034585642,0.05056208184670466,4
2wikimqa,22,value,0.17031592851044133,0.16924200385946747,4
2wikimqa,27,key,0.04553440306268104,0.045530965763324674,4
2wikimqa,27,value,0.13715263938552769,0.13225421966101777,4
2wikimqa,31,key,0.05356741184430572,0.05303697878912332,4
2wikimqa,31,value,0.10449776607544084,0.10489210102941722,4
lcc,0,key,0.07567118776023715,0.07537612095259166,4
lcc,0,value,0.3218989639104519,0.3193843703917923,4
lcc,4,key,0.03127515279972356,0.03162320560935439,4
lcc,4,value,0.1303720125230961,0.12991844686839754,4
lcc,9,key,0.05277665630043255,0.05278568415008661,4
lcc,9,value,0.12244836578803645,0.12342958096917546,4
lcc,13,key,0.059552823394908916,0.05923796836571064,4
lcc,13,value,0.12264342249225026,0.1229480732651712,4
lcc,18,key,0.05136708693389739,0.05069928947590246,4
lcc,18,value,0.09953981153933907,0.10139245315106594,4
lcc,22,key,0.05434385281539853,0.05368186558145825,4
lcc,22,value,0.10233164724773457,0.09993514497760513,4
lcc,27,key,0.04682508904665436,0.04627277494959949,4
lcc,27,value,0.08528146267499286,0.0744274523440211,4
lcc,31,key,0.053162745722262324,0.053375927969732034,4
lcc,31,value,0.10127112476833061,0.10557112702512933,4
passage_retrieval_en,0,key,0.06545918102198128,0.06562506610818551,4
passage_retrieval_en,0,value,0.25877134210158553,0.2580281235526158,4
passage_retrieval_en,4,key,0.035609820138890504,0.035527579751835715,4
passage_retrieval_en,4,value,0.1435594961017512,0.14329714462586313,4
passage_retrieval_en,9,key,0.04730794043739152,0.04725020841298024,4
passage_retrieval_en,9,value,0.09956526760599317,0.10003796530226991,4
passage_retrieval_en,13,key,0.05069422528421307,0.05067028935344406,4
passage_retrieval_en,13,value,0.1015511827177603,0.10054335561146827,4
passage_retrieval_en,18,key,0.046224531788980595,0.046335082420602594,4
passage_retrieval_en,18,value,0.09859076758917662,0.09666437207282223,4
passage_retrieval_en,22,key,0.05001856158671876,0.04999976695154498,4
passage_retrieval_en,22,value,0.16845356586756227,0.16975232237779742,4
passage_retrieval_en,27,key,0.044825965347800784,0.04479880334426653,4
passage_retrieval_en,27,value,0.11678061316250293,0.11443302931493499,4
passage_retrieval_en,31,key,0.053654023600409925,0.05357627200575933,4
passage_retrieval_en,31,value,0.09272106969022235,0.09254079575099491,4
trec,0,key,0.07367777373626577,0.07468330040526822,4
trec,0,value,0.3529189174898814,0.3602371519643669,4
trec,4,key,0.03442044110688962,0.03440637741872064,4
trec,4,value,0.1545024928520598,0.1622928726504207,4
trec,9,key,0.04975690958784639,0.049714131070037935,4
trec,9,value,0.11823995785870309,0.1173867094305554,4
trec,13,key,0.05853031918739244,0.058531131786998494,4
trec,13,value,0.11254136995534439,0.11117083252919341,4
trec,18,key,0.05013368833957395,0.05045968901252844,4
trec,18,value,0.13794067392149423,0.13334814955595364,4
trec,22,key,0.057204517635923234,0.05734127067005245,4
trec,22,value,0.15377115989683157,0.15478471035076757,4
trec,27,key,0.04909581158858431,0.049139689421414494,4
trec,27,value,0.17739908841727992,0.17841492066858802,4
trec,31,key,0.05745170105349738,0.05739521681734226,4
trec,31,value,0.12186763297394992,0.12530502111647837,4
