contrast,full_4task_mean,min,min_task,max,max_task,sign_changed
L00_key,0.9431501831501832,0.37753357753357736,lcc,1.2575335775335776,trec,False
L00_value,-1.027375000000001,-1.390666666666668,2wikimqa,0.020833333333333332,lcc,True
L04_key,0.262999999999999,0.016666666666666902,lcc,0.35066666666666535,trec,False
L04_value,0.08724999999999916,0.041666666666666664,lcc,0.11633333333333222,trec,False
L09_key,0.11180921052631465,-0.017587719298247134,passage_retrieval_en,0.16333333333333164,2wikimqa,True
L09_value,0.07924999999999915,0.008333333333334044,lcc,0.10566666666666553,trec,False
L13_key,-0.20925883838383985,-0.4456784511784531,passage_retrieval_en,0.11965488215488189,lcc,True
L13_value,0.2580213585434157,0.15869514472455512,lcc,0.35199999999999915,2wikimqa,False
L18_key,-0.010826725905673129,-0.34776896787423084,passage_retrieval_en,0.3446666666666663,2wikimqa,True
L18_value,0.19408088235294052,0.09210784313725402,passage_retrieval_en,0.2587745098039207,trec,False
L22_key,0.03376633986927935,-0.08164488017429268,lcc,0.12666666666666515,2wikimqa,True
L22_value,-0.04668452380952637,-0.06224603174603516,trec,-0.0013333333333349628,2wikimqa,False
L27_key,0.05012500000000042,-0.045833333333333094,lcc,0.11266666666666698,2wikimqa,True
L27_value,0.08908333333333207,0.03266666666666632,2wikimqa,0.1187777777777761,trec,False
L31_key,0.0011249999999991545,-0.045833333333333094,lcc,0.04733333333333197,2wikimqa,True
L31_value,0.0235000000000003,0.0,lcc,0.031333333333333734,trec,True
SignedKeyRangeContrast_L13_minus_L00,-1.152409021534023,-1.536545362045364,trec,-0.2578786953786955,lcc,False
SignedValueRangeContrast_L00_minus_L13,-1.2853963585434167,-1.7426666666666673,2wikimqa,-0.13786181139122178,lcc,False
