layer_idx,axis,task,baseline_score,perturbed_score,delta
0,key,trec,66.5,66.5,0.0
0,key,lcc,52.99,55.63,2.64
0,key,passage_retrieval_en,30.5,31.5,1.0
0,key,2wikimqa,24.45,24.58,0.13
0,value,trec,66.5,66.5,0.0
0,value,lcc,52.99,48.82,-4.17
0,value,passage_retrieval_en,30.5,30.5,0.0
0,value,2wikimqa,24.45,24.51,0.06
4,key,trec,66.5,66.5,0.0
4,key,lcc,52.99,53.99,1.0
4,key,passage_retrieval_en,30.5,30.5,0.0
4,key,2wikimqa,24.45,24.5,0.05
4,value,trec,66.5,66.5,0.0
4,value,lcc,52.99,53.21,0.22
4,value,passage_retrieval_en,30.5,30.5,0.0
4,value,2wikimqa,24.45,24.58,0.13
9,key,trec,66.5,66.5,0.0
9,key,lcc,52.99,52.98,-0.01
9,key,passage_retrieval_en,30.5,31.0,0.5
9,key,2wikimqa,24.45,24.41,-0.04
9,value,trec,66.5,66.5,0.0
9,value,lcc,52.99,53.28,0.29
9,value,passage_retrieval_en,30.5,30.5,0.0
9,value,2wikimqa,24.45,24.48,0.03
13,key,trec,66.5,66.5,0.0
13,key,lcc,52.99,51.79,-1.2
13,key,passage_retrieval_en,30.5,31.0,0.5
13,key,2wikimqa,24.45,24.31,-0.14
13,value,trec,66.5,66.5,0.0
13,value,lcc,52.99,53.55,0.56
13,value,passage_retrieval_en,30.5,31.0,0.5
13,value,2wikimqa,24.45,24.43,-0.02
18,key,trec,66.5,66.0,-0.5
18,key,lcc,52.99,53.52,0.53
18,key,passage_retrieval_en,30.5,31.5,1.0
18,key,2wikimqa,24.45,23.37,-1.08
18,value,trec,66.5,66.5,0.0
18,value,lcc,52.99,53.22,0.23
18,value,passage_retrieval_en,30.5,31.0,0.5
18,value,2wikimqa,24.45,24.5,0.05
22,key,trec,66.5,66.5,0.0
22,key,lcc,52.99,53.37,0.38
22,key,passage_retrieval_en,30.5,30.5,0.0
22,key,2wikimqa,24.45,24.21,-0.24
22,value,trec,66.5,66.5,0.0
22,value,lcc,52.99,52.99,0.0
22,value,passage_retrieval_en,30.5,30.5,0.0
22,value,2wikimqa,24.45,24.27,-0.18
27,key,trec,66.5,66.5,0.0
27,key,lcc,52.99,53.33,0.34
27,key,passage_retrieval_en,30.5,30.5,0.0
27,key,2wikimqa,24.45,24.31,-0.14
27,value,trec,66.5,66.5,0.0
27,value,lcc,52.99,53.09,0.1
27,value,passage_retrieval_en,30.5,30.5,0.0
27,value,2wikimqa,24.45,24.71,0.26
31,key,trec,66.5,66.5,0.0
31,key,lcc,52.99,53.13,0.14
31,key,passage_retrieval_en,30.5,30.5,0.0
31,key,2wikimqa,24.45,24.31,-0.14
31,value,trec,66.5,66.5,0.0
31,value,lcc,52.99,53.08,0.09
31,value,passage_retrieval_en,30.5,30.5,0.0
31,value,2wikimqa,24.45,24.45,0.0
